sampleid	sampleid	sample_type	Nest_id	Larvae_size	Cell_ID	Negative_control	Description_of_sample	Env_exposure	AB_treatment	Year	Sample	AVG_CTscore	logDNA	Gender											
EW-171	171	Tosti_Culture	NA	NA	NA	FALSE	Tosticauda gut	NA	NA	2023		NA	NA	NA											
EW-172	172	Larvae_Culture	NA	NA	NA	FALSE	Feeding Larvae	NA	NA	2023		NA	NA	NA											
EW-99	99	Adults	12	NA	NA	FALSE	Adults - sterile eclosion	None	NA	2023	181	27.519	2.526428353	Female											
EW-133	133	Adults	NA	NA	NA	FALSE	Adults	Free-flying	NA	2023	177	19.926	4.846318362	Female											
EW-175	175	Prepupae	NA	NA	B	FALSE	Larvae	NA	antibiotic	2023		NA	NA	NA											
EW-176	176	Prepupae	NA	NA	E	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-177	177	Prepupae	NA	NA	C	FALSE	Larvae	NA	control	2023		NA	NA	NA											
EW-134	134	Adults	NA	NA	NA	FALSE	Adults	Free-flying	NA	2023	178	20.16	4.77482432	Female											
EW-EBC18	EBC18	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2023	179	28.218	2.312862817	NA											
EW-103	103	Adults	12	NA	NA	FALSE	Adults - sterile eclosion	None	NA	2023	191	27.763	2.45187901	Female											
EW-181	181	Negative_control_rinse	NA	NA	NA	FALSE	Water_rinse	NA	NA	2023		NA	NA	NA											
EW-182	182	Negative_control_rinse	NA	NA	NA	FALSE	Water_rinse	NA	NA	2023		NA	NA	NA											
EW-183	183	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-91	91	Adults	NA	NA	NA	FALSE	Adults	Nest_only	NA	2022		NA	NA	Female											
EW-132	132	Adults	NA	NA	NA	FALSE	Adults	Free-flying	NA	2023	186	19.934	4.843874122	Female											
EW-186	186	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-187	187	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-188	188	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-178	178	Honey_bee	NA	NA	NA	FALSE	Honey bee	NA	NA	2023	188	12.668	7.06385579	NA											
EW-190	190	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-191	191	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
